{12038,16107,16135,16817,16854}	Aberdeen
{8048,8060}	Roodepoort
{4162,7793}	Rosario
{15921,16215,16626,16953}	Roswell
{15933,16641}	Round Rock
{7537,7714}	Royal Oak
{7574,7770}	Rutland
{14918,14935}	Râmnicu Vâlcea
{7868,8037}	Río Caribe
{8256,8273}	Sabirabad
{16457,17198}	Saco
{7095,7612}	Safford
{4674,4782}	Saguenay
{16046,16760}	Saint Charles
{16084,16793}	Saint Paul
{16146,16868}	Saint Petersburg
{3677,5340}	Saint-Denis
{4671,4772}	Saint-Jean-sur-Richelieu
{6938,6948}	Sakar
{15641,15659}	Sakarçäge
{5244,6083}	Salamanca
{12341,16605,17184}	Salem
{16013,16727}	Salina
{5184,15846,16532}	Salinas
{5370,16239,16342,16976,17084}	Salisbury
{4404,17215}	Salto
{12153,12198}	Samarinda
{17221,17253}	Samarqand
{15935,16644}	San Angelo
{4902,16638}	San Antonio
{15894,16583}	San Bernardino
{7037,7038}	San Buenaventura (Ventura)
{4112,6288,6386,6424,7805,7929}	San Carlos
{15803,16495}	San Clemente
{4078,5162}	San Cristóbal
{7952,15799,16487}	San Diego
{4911,7945}	San Felipe
{4899,6984,14679,14686}	San Fernando
{4051,4061,7911}	San Francisco
{7839,7973}	San Félix
{4628,8472}	San Ignacio & Santa Elena
{4267,4310}	San Ignacio de Moxos
{6435,15859,16542}	San Jose
{3635,4155,7795}	San José
{7856,8020}	San José de Guanipa
{7851,8015}	San José de Guaribe
{4066,7892,8149,14703}	San Juan
{17274,17289}	San Juan de Los Morros
{4266,4304}	San Julián
{5190,6675}	San Lorenzo
{7603,15836}	San Luis Obispo
{7990,15853,16538}	San Mateo
{4129,6900}	San Miguel
{5432,5444}	San Pedro Sula
{4116,16551}	San Rafael
{3961,15477}	San Salvador
{6878,7986}	San Sebastián
{16298,17035}	Sandusky
{15976,16685}	Sandy
{16216,16934}	Sandy Springs
{7432,7674,16455,17196}	Sanford
{6863,15804,16494}	Santa Ana
{4268,4312}	Santa Ana del Yacuma
{7600,15818}	Santa Barbara
{5038,15857,16541}	Santa Clara
{15831,16519}	Santa Clarita
{6523,15845,16533}	Santa Cruz
{7829,7963}	Santa Elena de Uairén
{6053,8159,15969,16678}	Santa Fe
{4324,4470,6887,15819,16507}	Santa Maria
{7601,15824}	Santa Monica
{4605,7915,7959}	Santa Rita
{8153,14693,15867,16553}	Santa Rosa
{6851,6864}	Santa Tecla
{4500,6521}	Santana
{4499,6554}	Santarém
{3613,6346,6436}	Santiago
{15620,15676}	Saparmyrat Türkmenbaşy
{15616,15648}	Sarahs
{3564,3566}	Sarajevo
{16145,16865}	Sarasota
{4638,4737}	Sarnia
{5636,5784}	Satna
{6723,6724,6774}	Satu Mare
{4662,4765}	Sault Ste. Marie
{16186,16923}	Savannah
{5503,5526}	Sawahlunto
{15621,15665}	Saýat
{15996,16709}	Scottsbluff
{16371,17116}	Scranton
{16112,16828}	Seattle
{16041,16755}	Sedalia
{4636,4733}	Selkirk
{12144,12182}	Semarang
{5508,5529}	Serang
{6940,6946}	Serhetabat
{8444,8446}	Serowe
{7179,16093,16801}	Seward
{6732,6733,6777}	Sfântu Gheorghe
{8496,8559}	Shawinigan
{16283,17022}	Sheboygan
{7592,7594,7595}	Shelton
{15985,16696}	Sheridan
{8125,8129}	Shkodër
{7122,7624}	Show Low
{15954,16667}	Shreveport
{14919,14936}	Sibiu
{7094,7610}	Sierra Vista
{14923,14940}	Sighetu Marmației
{12312,12570}	Siliguri
{7561,17077}	Silver Spring
{15830,16518}	Simi Valley
{7497,7686}	Simpsonville
{12162,12222}	Singkawang
{4004,8419}	Sinop
{16061,16775}	Sioux City
{16063,16777}	Sioux Falls
{6684,6685,6759}	Slatina
{6696,6763}	Slobozia
{16198,16933}	Smyrna
{6926,6930}	Sokodé
{16092,16096,16803}	Soldotna
{7030,7032,7033,7834,7969,15817}	Soledad
{5502,5522}	Solok
{4171,16445,17172}	Somerville
{6284,6285,6298}	Somoto
{7054,7055,7056,7057}	Sonoma
{5963,14213}	Soroca
{12157,12206}	Sorong
{16273,17009}	South Bend
{7571,7765}	South Burlington
{15827,16515}	South Gate
{16463,17202}	South Portland
{15841,16529}	South San Francisco
{3681,5371}	Southampton
{16190,16737}	Southaven
{4634,7520}	Southport
{15911,16599}	Sparks
{16221,16958}	Spartanburg
{15999,16713}	Spearfish
{3720,3722}	Split
{16124,16840}	Spokane
{16021,16734}	Springdale
{16027,16258,16292,16425,16602,16740,16995,17030,17148}	Springfield
{11989,12015}	St Albans
{7575,7773}	St. Albans
{8486,8540}	St. Catharines
{7136,7467}	St. Charles
{7216,15905,16593}	St. George
{8499,8571}	St. John's
{7443,16068}	St. Joseph
{4639,4738}	St. Thomas
{16378,16379,17120}	Stamford
{11971,11972}	Stanley
{16350,17095}	State College
{16237,16972}	Statesville
{7517,7696}	Staunton
{8477,8531}	Steinbach
{16316,17052}	Sterling Heights
{7702,16281}	Stevens Point
{16006,16720}	Stillwater
{15873,16548}	Stockton
{4641,4739}	Stratford
{5955,5962}	Strășeni
{11740,11746}	Stuttgart
{6748,6787}	Suceava
{16328,17063}	Suffolk
{15934,16642}	Sugar Land
{5512,5534}	Sukabumi
{8260,8261,8275}	Sumqayıt
{7504,7688}	Sumter
{6810,6827}	Sundsvall
{15852,16537}	Sunnyvale
{12148,12191}	Surabaya
{4201,8181,8569}	Sydney
{7540,7717}	Sylvan Lake
{16111,16826}	Tacoma
{6372,6426}	Taguig
{14481,14483}	Tahoua
{6388,6409}	Talisay
{4056,16910}	Tallahassee
{3658,3659}	Tallinn
{16149,16874}	Tampa
{5509,5530}	Tangerang
{7126,7627}	Taos
{4202,8186}	Taree
{5510,5531}	Tasikmalaya
{6742,6784}	Tecuci
{15609,15656}	Tejen
{7859,8024}	Temblador
{15812,16501}	Temecula
{4666,4768}	Temiskaming Shores
{17216,17217,17232}	Termiz
{16262,16998}	Terre Haute
{15955,15956,16668}	Texarkana
{7430,16908}	The Villages
{15946,16662}	The Woodlands
{8481,8535}	Thompson
{15989,16702}	Thornton
{4647,4749}	Thorold
{15823,16510}	Thousand Oaks
{8491,8550}	Thunder Bay
{14914,14931}	Timișoara
{8492,8551}	Timmins
{5653,5654,5655,12321}	Tirunelveli
{14222,14224}	Tolagnaro
{4342,6387,11937,16297,17034}	Toledo
{5520,5576}	Tomohon
{7130,7628}	Tooele
{16016,16730}	Topeka
{8488,8542}	Toronto
{15825,16511}	Torrance
{15994,16386,16387,16708,17141}	Torrington
{4075,4076}	Toshkent
{6837,6846}	Touba
{3556,3559}	Tovuz
{7050,15862,15863,16547}	Tracy
{16290,17028}	Traverse City
{8281,8286}	Trebinje
{16361,17105}	Trenton
{5037,7811,8401}	Trinidad
{6835,15416}	Trnava
{8495,8558}	Trois-Rivières
{7542,7718,17130}	Troy
{5451,7901,14615}	Trujillo
{7379,7380,7381,7382,7389,7390,7400,7404,7405,7407}	Trussville
{15917,16611}	Tucson
{7846,7984}	Tucupido
{6756,6757,6758,6794}	Tulcea
{16007,16721}	Tulsa
{7870,8040}	Tumeremo
{16189,16926}	Tupelo
{6717,6719,6772}	Turda
{15879,16566}	Turlock
{16169,16900}	Tuscaloosa
{15916,16610}	Twin Falls
{7622,15952}	Tyler
{6690,6761}	Târgoviște
{6708,14916,14933}	Târgu Jiu
{14921,14938}	Târgu Mureș
{15611,15663}	Türkmengala
{6811,6830}	Umeå
{14207,14214}	Ungheni
{7838,7974}	Upata
{16264,17000}	Urbana
{7281,7638}	Urbandale
{17218,17237}	Urganch
{6693,6694}	Urziceni
{16103,16813}	Utqiaġvik
{15874,16559}	Vacaville
{4673,4776}	Val-d'Or
{16097,16805}	Valdez
{16177,16911}	Valdosta
{6398,17281}	Valencia
{5258,6139}	Valladolid
{7848,7983}	Valle de La Pascua
{4265,4296}	Vallegrande
{15868,16554}	Vallejo
{8504,16824}	Vancouver
{5458,5466}	Varaždin
{6752,6791}	Vaslui
{4652,4752}	Vaughan
{15820,15822,16509}	Ventura
{7570,7764}	Vergennes
{7270,16062,16776}	Vermillion
{7137,7631}	Vernal
{3943,7614,8503,15931}	Victoria
{15896,16585}	Victorville
{6511,6532}	Vila Nova de Santo André
{12114,12115}	Villa Nueva
{6668,6677}	Villarrica
{16330,17067}	Virginia Beach
{15840,16527}	Visalia
{15811,16500}	Vista
{7222,15937,16647}	Waco
{4199,8178}	Wagga Wagga
{16101,16812}	Wainwright
{7552,7729}	Wake Forest
{16117,16833}	Walla Walla
{7768,16443}	Waltham
{16185,16920}	Warner Robins
{16305,16315,17043,17051}	Warren
{16040,16754}	Warrensburg
{7447,7448,7587,7596}	Warrior
{4170,4193}	Warrnambool
{7325,8232}	Warwick
{4060,4072,7555,7733}	Washington
{7309,7654}	Wasilla
{16413,17139}	Waterbury
{3733,3735}	Waterford
{4643,4742,15421,16085,16794}	Waterloo
{16066,16780,17132}	Watertown
{16468,17207}	Waterville
{16277,17014}	Waukegan
{7701,16279}	Waukesha
{16280,17018}	Wausau
{7532,7709}	Weirton
{4649,4748}	Welland
{16119,16835}	Wenatchee
{15888,16575}	West Covina
{7637,16069}	West Des Moines
{4631,4704}	West Kelowna
{16160,16889}	West Palm Beach
{15975,16686}	West Valley City
{16462,17201}	Westbrook
{16424,17146}	Westfield
{15988,16701}	Westminster
{7531,7708}	Wheeling
{4658,4758}	Whitby
{8180,8218}	Whyalla
{16010,16724}	Wichita
{16000,16714}	Wichita Falls
{16370,17115}	Wilkes-Barre
{7557,7736}	Williamsburg
{16352,17096}	Williamsport
{16133,16852}	Williston
{16324,17058,17098}	Wilmington
{7549,7727}	Wilson
{5373,7316,16335,17072}	Winchester
{4632,4732}	Winkler
{7608,15912}	Winnemucca
{7572,7766}	Winooski
{16241,16978}	Winston-Salem
{16446,17174}	Woburn
{4640,4740}	Woodstock
{16431,17153}	Woonsocket
{12016,16436,17162}	Worcester
{7704,16288}	Wyoming
{8262,8277}	Xaçmaz
{17219,17238}	Xojeli
{8259,8276}	Xırdalan
{16118,16834}	Yakima
{16060,16774}	Yankton
{8248,8264}	Yardımlı
{4208,4210}	Yevlax
{4859,4870}	Yopougon
{12032,16346,17090}	York
{16303,17041}	Youngstown
{7712,16311}	Ypsilanti
{15876,16563}	Yuba City
{7025,16505}	Yuma
{6856,6869}	Zacatecoluca
{5453,5460}	Zadar
{3723,5457}	Zagreb
{6721,6722,6773}	Zalău
{5245,6035}	Zamora
{7849,7985}	Zaraza
{3609,3611}	Zürich
{15630,15649}	Änew
{6829,15413}	Örnsköldsvik
{15637,15662}	Ýolöten
{8255,8271}	İmişli
{15639,15675}	Şabat
{8263,8278}	Şabran
{15613,15657}	Şatlyk
{3561,4209}	Şəki
{5454,5461}	Šibenik
{12072,12089}	Βέροια
{4019,4034}	Івано-Франківськ
{15126,15272}	Абакан
{3771,3774}	Алматы
{14319,14335}	Алтай
{15761,15792}	Алчевськ
{15076,15222}	Альметьевск
{15128,15274}	Ангарск
{14321,14338}	Арвайхээр
{15042,15191}	Арзамас
{14995,15145}	Армавир
{15124,15268}	Артём
{3892,3928}	Архангельск
{3773,3777}	Астана
{3893,3929}	Астрахань
{14035,14053}	Атырау
{15131,15278}	Ачинск
{14044,14062}	Ақсу
{14030,14048}	Ақтау
{5933,14054}	Ақтөбе
{3696,3705}	Аҟəа - Сухум
{8455,8467}	Бабруйск
{15064,15211}	Балаково
{15035,15175}	Балашиха
{8450,8462}	Баранавічы
{15102,15248}	Барнаул
{14328,14348}	Баруун-Урт
{8456,8468}	Барысаў
{15004,15154}	Батайск
{15002,15152}	Белгород
{15081,15227}	Белорецк
{14209,14215}	Бендеры
{3864,3867}	Београд
{15103,15249}	Бердск
{15752,15783}	Бердянськ
{15094,15241}	Березники
{15105,15251}	Бийск
{15134,15281}	Биробиджан
{14231,14245}	Битола
{15133,15280}	Благовещенск
{15597,15600}	Бохтар
{15129,15276}	Братск
{15743,15774}	Бровари
{8448,8460}	Брэст
{3882,3917}	Брянск
{15742,15773}	Біла Церква
{14234,14249}	Велес
{15043,15192}	Великие Луки
{3925,15045}	Великий Новгород
{15121,15267}	Владивосток
{3872,3905}	Владикавказ
{3889,3923}	Владимир
{3916,15010}	Волгоград
{15009,15157}	Волгодонск
{15011,15159}	Волжский
{15059,15205}	Вологда
{15119,15265}	Воркута
{3883,3918}	Воронеж
{15033,15181}	Воскресенск
{15089,15236}	Воткинск
{15741,15772}	Вінниця
{8459,8471}	Віцебск
{15046,15193}	Гатчина
{14239,14253}	Гевгелија
{15087,15234}	Глазов
{3598,3601}	Гомель
{4030,4045}	Горлівка
{14229,14243}	Гостивар
{8452,8464}	Гродна
{3876,3908}	Грозный
{14314,14331}	Даланзадгад
{3875,15149}	Дербент
{15058,15190}	Дзержинск
{15072,15218}	Димитровград
{15753,15785}	Дніпро
{15027,15176}	Долгопрудный
{15022,15170}	Домодедово
{4028,4043}	Донецьк
{3970,3971}	Душанбе
{15739,15770}	Евпатория
{15092,15239}	Екатеринбург
{15015,15163}	Елец
{14998,15148}	Ессентуки
{14039,14056}	Жезқазған
{4024,4039}	Житомир
{15034,15182}	Жуковский
{15755,15784}	Запоріжжя
{15023,15171}	Зеленоград
{3900,3936}	Златоуст
{14326,14346}	Зуунмод
{15056,15203}	Иваново
{15086,15233}	Ижевск
{15084,15230}	Йошкар-Ола
{14233,14247}	Кавадарци
{3897,3933}	Казань
{3878,3910}	Калининград
{15016,15164}	Калуга
{15097,15244}	Каменск-Уральский
{15062,15208}	Камышин
{15736,15767}	Кам’янець-Подільський
{15754,15786}	Кам’янське
{13846,13856}	Каракол
{14999,15150}	Каспийск
{15108,15254}	Кемерово
{15749,15780}	Керчь
{15085,15232}	Кирово-Чепецк
{14997,15147}	Кисловодск
{14228,14242}	Кичево
{4025,4040}	Київ
{15055,15202}	Ковров
{15032,15180}	Коломна
{15048,15195}	Колпино
{15138,15285}	Комсомольск-на-Амуре
{15029,15178}	Королёв
{15057,15204}	Кострома
{14238,14252}	Кочани
{15759,15790}	Краматорськ
{15025,15173}	Красногорск
{3879,3912}	Краснодар
{15127,15273}	Красноярск
{15746,15777}	Кременчук
{15745,15776}	Кривий Ріг
{15744,15775}	Кропивницький
{14235,14250}	Куманово
{15083,15229}	Курган
{15012,15160}	Курск
{15125,15271}	Кызыл
{14041,14059}	Көкшетау
{3887,15187}	Липецк
{4031,4046}	Лисичанськ
{4033,4048}	Луганськ
{4026,4041}	Луцьк
{4020,4035}	Львів
{3885,3920}	Люберцы
{8453,8465}	Ліда
{15140,15287}	Магадан
{3899,3935}	Магнитогорск
{8457,8469}	Магілёў
{3597,3600}	Мазыр
{14993,15143}	Майкоп
{4029,4044}	Макіївка
{8454,8466}	Маладзечна
{14322,14340}	Мандалговь
{4027,4042}	Маріуполь
{3877,3909}	Махачкала
{15751,15782}	Мелітополь
{15082,15228}	Миасс
{4023,4038}	Миколаїв
{3886,3921}	Москва
{15061,15207}	Мурманск
{15041,15189}	Муром
{15028,15177}	Мытищи
{3596,3599}	Мінск
{3824,14320}	Мөрөн
{3898,3934}	Набережные Челны
{3873,3906}	Назрань
{3871,3904}	Нальчик
{13844,13853}	Нарын
{15118,15264}	Нарьян-Мар
{15123,15270}	Находка
{14996,15146}	Невинномысск
{14236,14248}	Неготино
{15135,15282}	Нерюнгри
{15079,15225}	Нефтекамск
{15111,15257}	Нефтеюганск
{15113,15259}	Нижневартовск
{15075,15221}	Нижнекамск
{3891,3927}	Нижний Новгород
{15093,15240}	Нижний Тагил
{14950,14974}	Ниш
{15107,15252}	Новокузнецк
{15067,15213}	Новокуйбышевск
{15019,15167}	Новомосковск
{14992,15142}	Новороссийск
{15104,15250}	Новосибирск
{15070,15216}	Новочебоксарск
{3915,15006}	Новочеркасск
{15005,15155}	Новошахтинск
{15115,15261}	Новый Уренгой
{15037,15185}	Ногинск
{15120,15266}	Норильск
{15114,15260}	Ноябрьск
{15750,15781}	Нікополь
{3884,3919}	Обнинск
{4022,4037}	Одеса
{15024,15172}	Одинцово
{3939,15100}	Омск
{3775,14036}	Орал
{15073,15219}	Оренбург
{6795,15039}	Орехово-Зуево
{15080,15226}	Орск
{8458,8470}	Орша
{15013,15161}	Орёл
{14227,14241}	Охрид
{15756,15787}	Павлоград
{14045,14063}	Павлодар
{15065,15210}	Пенза
{15091,15238}	Первоуральск
{15090,15237}	Пермь
{15052,15199}	Петрозаводск
{14043,14061}	Петропавл
{15141,15288}	Петропавловск-Камчатский
{15021,15169}	Подольск
{15757,15788}	Полтава
{14232,14246}	Прилеп
{15106,15253}	Прокопьевск
{3924,15044}	Псков
{15047,15194}	Пушкин
{15030,15179}	Пушкино
{3874,3907}	Пятигорск
{8449,8461}	Пінск
{15031,15183}	Раменское
{3881,3914}	Ростов-на-Дону
{15101,15247}	Рубцовск
{14037,14055}	Рудный
{8361,8385}	Русе
{15051,15198}	Рыбинск
{14211,14217}	Рыбница
{3888,3922}	Рязань
{15738,15769}	Рівне
{14315,14332}	Сайншанд
{15074,15220}	Салават
{15099,15246}	Салехард
{8451,8463}	Салігорск
{3895,3931}	Самара
{3890,3926}	Санкт-Петербург
{15068,15214}	Саранск
{15088,15235}	Сарапул
{3894,3930}	Саратов
{15732,15763}	Севастополь
{15060,15206}	Северодвинск
{15117,15263}	Северск
{14046,14064}	Семей
{15050,15197}	Сергиев Посад
{15096,15243}	Серов
{15020,15168}	Серпухов
{15733,15764}	Симферополь
{3819,3820}	Скопје
{15760,15791}	Слов’янськ
{3911,15001}	Смоленск
{15095,15242}	Соликамск
{3574,3576}	София
{3870,3903}	Сочи
{15003,15153}	Ставрополь
{15014,15162}	Старый Оскол
{14042,14060}	Степногорск
{15077,15223}	Стерлитамак
{14240,14254}	Струмица
{15762,15793}	Суми
{15112,15258}	Сургут
{15066,15212}	Сызрань
{3902,3938}	Сыктывкар
{4032,4047}	Сєвєродонецьк
{14324,14344}	Сүхбаатар
{3880,3913}	Таганрог
{15040,15188}	Тамбов
{14034,14052}	Тараз
{15049,15196}	Тверь
{15737,15768}	Тернопіль
{14230,14244}	Тетово
{3811,14212}	Тирасполь
{15109,15255}	Тобольск
{15071,15217}	Тольятти
{15116,15262}	Томск
{15017,15165}	Тула
{15098,15245}	Тюмень
{15734,15765}	Ужгород
{15018,15166}	Узловая
{14317,14334}	Улаангом
{15130,15277}	Улан-Удэ
{14318,14336}	Улиастай
{3896,3932}	Ульяновск
{15122,15269}	Уссурийск
{15078,15224}	Уфа
{15137,15284}	Хабаровск
{15110,15256}	Ханты-Мансийск
{15758,15789}	Харків
{15000,15151}	Хасавюрт
{8360,8365}	Хасково
{15740,15771}	Херсон
{15026,15174}	Химки
{4021,4036}	Хмельницький
{14316,14333}	Ховд
{15599,15603}	Хуҷанд
{3698,3707}	Цхинвал
{15069,15215}	Чебоксары
{3901,3937}	Челябинск
{15053,15200}	Череповец
{15747,15778}	Черкаси
{14994,15144}	Черкесск
{15735,15766}	Чернівці
{15748,15779}	Чернігів
{15132,15279}	Чита
{14329,14349}	Чойбалсан
{14325,14345}	Чойр
{15007,15156}	Шахты
{14237,14251}	Штип
{14033,14051}	Шымкент
{15038,15186}	Щёлково
{15036,15184}	Электросталь
{15008,15158}	Элиста
{15063,15209}	Энгельс
{14323,14342}	Эрдэнэт
{15139,15286}	Южно-Сахалинск
{15136,15283}	Якутск
{15054,15201}	Ярославль
{14040,14057}	Қарағанды
{3776,14038}	Қостанай
{14031,14049}	Қызылорда
{14313,14330}	Өлгий
{14327,14347}	Өндөрхаан
{3543,3546}	Գյումրի
{3544,3545}	Երևան
{8252,8268}	Ստեփանակերտ
{8135,8136}	Վանաձոր
{12234,12235,12266}	אשדוד
{12233,12265}	אשקלון
{12237,12267}	בית שמש
{14873,14888}	ביתר עילית
{12239,12241,12271}	בת ים
{12248,12280}	חדרה
{12240,12272}	חולון
{12249,12281}	חיפה
{3737,3739}	ירושלים
{12245,12276}	כפר סבא
{12257,12290}	כרמיאל
{12238,12270}	מודיעין-מכבים-רעות
{14874,14891}	מעלה אדומים
{12251,12283}	נהריה
{12246,12277}	נתניה
{12250,12282}	עכו
{12252,12284}	עפולה
{12247,12279}	ערד
{12243,12274}	פתח תקווה
{12258,12291}	צפת
{12236,12269}	ראשון לציון
{12244,12275}	רעננה
{12242,12273}	תל אביב-יפו
{11826,11864}	أسيوط
{12680,12737}	اردبیل
{12685,12743}	اسلامشهر
{12663,12715}	اصفهان
{15346,15347,15348}	الجنينة
{14002,14023}	الجهراء
{3861,14012}	الدوحة
{12842,12854}	الرصيفة
{12843,12855}	الزرقاء
{11837,11892}	العاشر من رمضان
{12841,12846}	العقبة
{12635,15402}	الفاو
{15481,15500}	القامشلي
{3660,3662}	القاهرة
{8075,8080}	المدام
{11908,15403}	المنصورة
{11825,11859}	المنيا الجديدة
{12254,12285}	الناصرة
{12687,12744}	اندیشه
{5873,12653,12706}	اندیمشک
{14593,14594}	بركاء
{3741,3743}	بغداد
{14145,14146}	بنغازي
{3857,3859}	بيت لحم
{12592,12619,12620}	بيجي
{12594,12623}	تلعفر
{3973,3974}	تونس
{14004,14025}	جابر الأحمد
{14717,14740}	حیدرآباد
{8078,14570}	خور فكان
{3539,8073}	دبي
{14118,14150}	درنة
{11849,11905}	دسوق
{14875,14893}	رام الله
{15480,15501}	رحية الصغيرة
{12677,12734}	زنجان
{12673,12729}	ساوه
{12845,12861}	سما السرحان
{15680,15689}	سوسة
{14001,14026}	شمال غرب الصليبخات
{12661,12713}	شهرکرد
{12686,12742}	شهریار
{14723,14828}	شیخوپورہ
{12658,12710}	شیراز
{6919,6920}	صرين
{12683,12741}	صفادشت
{14082,14602}	صور
{3779,3781,3792,3799}	طرابلس
{14725,14835}	ظفروال
{14582,15391}	عبري
{12256,12289}	عرابة
{14136,14137}	قصر بن غشير
{8077,8088}	كلباء
{14727,14860}	مانسہرہ
{15290,15293}	محايل عسير
{14022,14024}	مدينة المطلاع
{12844,12859}	مغير السرحان
{8074,8081}	مليحة
{12691,12749}	مهستان
{14878,14894}	نابلس
{12662,12714}	نجف‌آباد
{12692,12747}	هشتگرد
{12681,12740}	پرند
{14724,14832}	ڈسکہ
{12684,12746}	کرج
{12670,12724}	کرمانشاه
{12690,12748}	کوهسار
{14726,14840}	گجرات
{3694,3700}	ბათუმი
{3704,12045}	ზუგდიდი
{3699,3709}	თელავი
{3695,3708}	რუსთავი
{3697,3706}	ქუთაისი
{12938,13591}	いすみ市
{12988,13659}	かすみがうら市
{12969,13622}	さいたま市
{12978,13648}	つくばみらい市
{12982,13657}	つくば市
{13007,13671}	ひたちなか市
{12959,13612}	ふじみ野市
{12972,13639}	みどり市
{12862,13454}	三浦市
{12933,13584}	三郷市
{12983,13656}	下妻市
{12906,13556}	世田谷区
{12910,13551}	中央区
{12914,13565}	中野区
{13022,13801}	久慈市
{8623,9395}	九龙坡区
{13023,13799}	二戸市
{12881,13507}	伊勢原市
{12873,13500}	伊勢崎市
{13729,13809}	伊達市
{12954,13599}	佐倉市
{12895,13534}	入間市
{12948,13600}	八千代市
{13020,13796}	八幡平市
{12932,13586}	八潮市
{12952,13606}	八街市
{12875,13502}	前橋市
{12864,13458}	勝浦市
{13015,13774}	北上市
{12919,13568}	北区
{13010,13755}	北茨城市
{12956,13609}	匝瑳市
{12925,13578}	千代田区
{11164,11165}	南开区
{12867,13456}	南房総市
{8833,10047}	南沙区
{10125,10126}	南澳县
{12866,13471}	南足柄市
{12950,13602}	印西市
{12887,13509}	厚木市
{12976,13651}	取手市
{12970,13635}	古河市
{12928,13579}	台東区
{12965,13628}	吉川市
{11678,11683}	向阳区
{12934,13517}	君津市
{12922,13571}	和光市
{11166,11442}	和平区
{12904,13553}	品川区
{12944,13595}	四街道市
{12986,13655}	土浦市
{12971,13634}	坂東市
{9154,9775}	城中区
{8909,9729}	城关区
{12929,13577}	墨田区
{12892,13522}	多摩市
{12888,13511}	大和市
{12903,13548}	大田区
{12945,13603}	大網白里市
{13012,13778}	大船渡市
{12974,13636}	太田市
{13013,13772}	奥州市
{12975,13649}	守谷市
{12874,13496}	安中市
{10803,11687}	宝山区
{13021,13797}	宮古市
{12898,13550}	富士見市
{12884,13515}	富津市
{12958,13607}	富里市
{12868,13472}	小田原市
{12987,13669}	小美玉市
{12953,13605}	山武市
{12871,13485}	岡谷市
{12926,13576}	川口市
{12901,13549}	川崎市
{4969,9338,9403,11095}	市中区
{12941,13590}	市原市
{12942,13597}	市川市
{12984,13652}	常総市
{13002,13675}	常陸大宮市
{12999,13676}	常陸太田市
{12878,13506}	平塚市
{12967,13632}	幸手市
{13192,13525}	府中市
{12886,13512}	座間市
{12924,13574}	志木市
{12957,13608}	成田市
{12977,13650}	我孫子市
{12921,13573}	戸田市
{12897,13545}	所沢市
{12915,13570}	文京区
{10503,11055}	新华区
{9830,10031}	新城区
{12916,13569}	新宿区
{12896,13547}	新座市
{13009,13754}	日立市
{13001,13750}	旭市
{12966,13629}	春日部市
{10685,10794}	普陀区
{11313,11522}	朝阳区
{12917,13566}	朝霞市
{12937,13588}	木更津市
{12913,13564}	杉並区
{12955,13604}	東金市
{11595,13279}	松原市
{12949,13585}	松戸市
{12920,13575}	板橋区
{12951,13647}	柏市
{12979,13640}	桐生市
{12991,13664}	桜川市
{11052,11293}	桥西区
{3755,13518}	横浜市
{12890,13516}	横須賀市
{12995,13670}	水戸市
{9543,10154}	永定区
{9428,10680}	江北区
{12907,13558}	江戸川区
{12911,13559}	江東区
{11169,11187}	河东区
{11162,11163}	河西区
{12997,13697}	沼田市
{12964,13587}	流山市
{12909,13562}	浦安市
{12885,13508}	海老名市
{12876,13501}	渋川市
{12908,13554}	渋谷区
{12905,13557}	港区
{13017,13795}	滝沢市
{12989,13661}	潮来市
{12981,13653}	牛久市
{12900,13555}	狛江市
{12893,13546}	狭山市
{12891,13519}	町田市
{9090,10054}	白云区
{12946,13601}	白井市
{11493,13432}	白山市
{12962,13626}	白岡市
{13018,13794}	盛岡市
{12902,13552}	目黒区
{12899,13521}	相模原市
{12993,13667}	真岡市
{12996,13658}	石岡市
{13004,13752}	神栖市
{12869,13504}	秦野市
{12894,13526}	稲城市
{12985,13663}	稲敷市
{12994,13668}	笠間市
{12992,13666}	筑西市
{12973,13645}	結城市
{12883,13513}	綾瀬市
{12912,13563}	練馬区
{12940,13596}	習志野市
{12947,13593}	船橋市
{13016,13793}	花巻市
{12939,13592}	茂原市
{12880,13503}	茅ヶ崎市
{12935,13583}	草加市
{12927,13580}	荒川区
{12931,13582}	葛飾区
{12960,13625}	蓮田市
{12923,13572}	蕨市
{12872,13498}	藤岡市
{12877,13510}	藤沢市
{12990,13662}	行方市
{12936,13589}	袖ケ浦市
{10406,10647}	西湖区
{12870,13483}	諏訪市
{12918,13567}	豊島区
{12963,13627}	越谷市
{12930,13581}	足立区
{12889,13514}	逗子市
{10806,11323}	通州区
{13019,13775}	遠野市
{12998,13672}	那珂市
{10470,11008}	郊区
{12968,13630}	野田市
{13014,13777}	釜石市
{13008,13665}	鉾田市
{13003,13748}	銚子市
{12943,13598}	鎌ケ谷市
{12882,13505}	鎌倉市
{11422,11506}	铁东区
{11424,11440,11505}	铁西区
{9826,11054}	长安区
{13011,13776}	陸前高田市
{10010,10390}	青山区
{13000,13691}	須坂市
{12865,13455}	館山市
{12961,13660}	香取市
{12879,13497}	高崎市
{13006,13753}	高萩市
{12863,13457}	鴨川市
{13005,13751}	鹿嶋市
{9103,9105}	黔西市
{10301,10717,10848,10941}	鼓楼区
{12980,13654}	龍ケ崎市
{8804,10070}	龙华区
{3764,3767}	부산
{3765,3768}	서울
{13898,13923}	순천시
